caʔslaqs	tʃ a s l a k s 
cɬwin	tʃ ɬ w i n 
cnʔawcínm	tʃ n a w tʃ i n m 
cciqcqt	tʃ tʃ i k tʃ k t 
captíkʷɬ	tʃ a p t i k w ɬ 
cʔacqaʔ	tʃ a tʃ k a 
cʔacqaʔst	tʃ a tʃ k a s t 
cwmin	tʃ w m i n 
caʕcaʕpmaɬq	tʃ a tʃ a p m a ɬ k 
ckɬʔukʷ	tʃ k ɬ u k w 
caqʷ	tʃ a k w 
ckʷi	tʃ k w i 
cwncut	tʃ w n tʃ u t 
cnʔaxʷt	tʃ n a h u t 
cmxnalqs	tʃ m ʍ n a l k s 
cacaʕlx	tʃ a tʃ a l ʍ 
cx	tʃ ʍ 
clkstiɬxʷ	tʃ l k s t i ɬ h u 
cqqcnitkʷ	tʃ k k tʃ n i t k w 
cʔum	tʃ u m 
cqwscinm	tʃ k w s tʃ i n m 
cah	tʃ a h 
cʔkin	tʃ k i n 
cʔkinm	tʃ k i n m 
caʔcunmaʔ	tʃ a tʃ u n m a 
ckiwt	tʃ k i w t 
cxllakk	tʃ ʍ l l a k k 
ckʔawsʕacm	tʃ k a w s a tʃ m 
cqqink	tʃ k k i n k 
cnus	tʃ n u s 
ckʔawskníyaʔ	tʃ k a w s k n i i a 
ckɬkʷƛalqsm	tʃ k ɬ k w ǁ a l k s m 
cktɬmncutm	tʃ k t ɬ m n tʃ u t m 
cnyaxʷt	tʃ n i a h u t 
caʕs	tʃ a s 
cwpaq	tʃ w p a k 
caʔpsíliʔs	tʃ a p s i l i s 
csaxʷt	tʃ s a h u t 
cnaʕp	tʃ n a p 
cklaʔkʷakʷ	tʃ k l a k w a k w 
cart	tʃ a r t 
cmamn	tʃ m a m n 
cxʷ	tʃ h u 
ckic	tʃ k i tʃ 
ckʷkʷíɬcaʔm	tʃ k w k w i ɬ tʃ a m 
ckʷukʷ	tʃ k w u k w 
ckʷckʷpxan	tʃ k w tʃ k w p ʍ a n 
cnmaʔkst	tʃ n m a k s t 
cylwist	tʃ i l w i s t 
caʕk	tʃ a k 
caʕ	tʃ a 
cmywsulaʔxʷ	tʃ m i w s u l a h u 
ckʷcakʷ	tʃ k w tʃ a k w 
cíqwyaʔ	tʃ i k w i a 
cut	tʃ u t 
cixpwsqn	tʃ i ʍ p w s k n 
cacaʕymn	tʃ a tʃ a i m n 
ckʔukʷ	tʃ k u k w 
cahchaqs	tʃ a h tʃ h a k s 
cnkcnikn	tʃ n k tʃ n i k n 
clkstus	tʃ l k s t u s 
cslal	tʃ s l a l 
cnlxʷulaʔxʷ	tʃ n l h u u l a h u 
ctqʷtaqʷ	tʃ t k w t a k w 
c	tʃ 
cawt	tʃ a w t 
cnɬɬxʷɬíxʷnk	tʃ n ɬ ɬ h u ɬ i h u n k 
cxltikst	tʃ ʍ l t i k s t 
caʕtlmxʷ	tʃ a t l m h u 
ci	tʃ i 
ckɬʔiqʷ	tʃ k ɬ i k w 
ckɬnyxilp	tʃ k ɬ n i ʍ i l p 
cyilx	tʃ i i l ʍ 
cplkusm	tʃ p l k u s m 
cíqlaʔxʷm	tʃ i k l a h u m 
clʕʷutm	tʃ l u t m 
cmmaqʷ	tʃ m m a k w 
ckɬnyxaqs	tʃ k ɬ n i ʍ a k s 
ckʷul	tʃ k w u l 
caʕlx	tʃ a l ʍ 
cxʷuyaxʷuy	tʃ h u u i a h u u i 
csixʷt	tʃ s i h u t 
cʔus	tʃ u s 
cyaʕ	tʃ i a 
cicxm	tʃ i tʃ ʍ m 
cnɬuxʷt	tʃ n ɬ u h u t 
caʔkʷ	tʃ a k w 
cmay	tʃ m a i 
cqʷcqʷtiɬp	tʃ k w tʃ k w t i ɬ p 
clucws	tʃ l u tʃ w s 
captíkʷ	tʃ a p t i k w 
cíxʷaʔ	tʃ i h u a 
cyip	tʃ i i p 
cʔknutyaʔ	tʃ k n u t i a 
cʔxɬitíʔ	tʃ ʍ ɬ i t i 
clqam	tʃ l k a m 
cxʷuyy	tʃ h u u i i 
cmaqʷ	tʃ m a k w 
ckckiɬp	tʃ k tʃ k i ɬ p 
clkiwɬ	tʃ l k i w ɬ 
cixst	tʃ i ʍ s t 
cur	tʃ u r 
ckɬyxus	tʃ k ɬ i ʍ u s 
cʔxiɬt	tʃ ʍ i ɬ t 
caʕʷlx	tʃ a l ʍ 
cnmtícaʔ	tʃ n m t i tʃ a 
ckʷpiws	tʃ k w p i w s 
ckɬaʔpínk	tʃ k ɬ a p i n k 
ctxʷyilst	tʃ t h u i i l s t 
cqlqʷikst	tʃ k l k w i k s t 
cncnilx	tʃ n tʃ n i l ʍ 
cacʔíliʔs	tʃ a tʃ i l i s 
cʔippulx	tʃ i p p u l ʍ 
cciqcqɬmlx	tʃ tʃ i k tʃ k ɬ m l ʍ 
cwtikxt	tʃ w t i k ʍ t 
ckʔawsqílxʷ	tʃ k a w s k i l h u 
cwtan	tʃ w t a n 
caʕsmist	tʃ a s m i s t 
cmiwsulaʔxʷ	tʃ m i w s u l a h u 
cqikst	tʃ k i k s t 
cunmaʔ	tʃ u n m a 
cnwiwpm	tʃ n w i w p m 
cʔxiɬ	tʃ ʍ i ɬ 
caʕcaʕlx	tʃ a tʃ a l ʍ 
ctcitxʷ	tʃ t tʃ i t h u 
caʔnwíxʷ	tʃ a n w i h u 
cíclmiʔst	tʃ i tʃ l m i s t 
cacaʕcaʕypm	tʃ a tʃ a tʃ a i p m 
ckʷckʷmncut	tʃ k w tʃ k w m n tʃ u t 
crkmncut	tʃ r k m n tʃ u t 
cam	tʃ a m 
ckʷcakʷt	tʃ k w tʃ a k w t 
caʕcaʕypm	tʃ a tʃ a i p m 
ccmus	tʃ tʃ m u s 
cqcqalxqn	tʃ k tʃ k a l ʍ k n 
caʕcaʕcaʕ	tʃ a tʃ a tʃ a 
cqqnu	tʃ k k n u 
cwcwíxaʔ	tʃ w tʃ w i ʍ a 
cíqplaʔ	tʃ i k p l a 
cnmaʔncutn	tʃ n m a n tʃ u t n 
ciqʷlx	tʃ i k w l ʍ 
ckɬtkʷus	tʃ k ɬ t k w u s 
cckʷnwíxʷ	tʃ tʃ k w n w i h u 
ckɬkʷƛap	tʃ k ɬ k w ǁ a p 
cqap	tʃ k a p 
cyaxʷt	tʃ i a h u t 
cʔimx	tʃ i m ʍ 
captkʷlímn	tʃ a p t k w l i m n 
caʔcaʔxʷscím	tʃ a tʃ a h u s tʃ i m 
cxlkiys	tʃ ʍ l k i i s 
ckicx	tʃ k i tʃ ʍ 
cmcaʕm	tʃ m tʃ a m 
ckɬxʷaqʷm	tʃ k ɬ h u a k w m 
cqʷaʔlípaʔ	tʃ k w a l i p a 
ccnpíɬcaʔ	tʃ tʃ n p i ɬ tʃ a 
cʔawsqʷymncut	tʃ a w s k w i m n tʃ u t 
cwt	tʃ w t 
cxiƛm	tʃ ʍ i ǁ m 
cxʷuy	tʃ h u u i 
cxʷist	tʃ h u i s t 
ccmalaʔ	tʃ tʃ m a l a 
cplkmi	tʃ p l k m i 
caʔkʷítkʷm	tʃ a k w i t k w m 
ckʷin	tʃ k w i n 
cm	tʃ m 
cmcmpxan	tʃ m tʃ m p ʍ a n 
cnikst	tʃ n i k s t 
cxʷiltm	tʃ h u i l t m 
cnwis	tʃ n w i s 
cƛaʔ	tʃ ǁ a 
cnyʔaʕ	tʃ n i a 
cussqn	tʃ u s s k n 
ciní	tʃ i n i 
ckʔacqaʔm	tʃ k a tʃ k a m 
caʕsmcaʕs	tʃ a s m tʃ a s 
ckʷist	tʃ k w i s t 
cqaq	tʃ k a k 
ciʔ	tʃ i 
cqi	tʃ k i 
ckxn	tʃ k ʍ n 
cixxws	tʃ i ʍ ʍ w s 
caʔcʔíliʔs	tʃ a tʃ i l i s 
cwxwix	tʃ w ʍ w i ʍ 
caylx	tʃ a i l ʍ 
cwcwalqs	tʃ w tʃ w a l k s 
cpaʔpín	tʃ p a p i n 
cacaʕypm	tʃ a tʃ a i p m 
cʔawsmuskst	tʃ a w s m u s k s t 
cin	tʃ i n 
ccamaʔt	tʃ tʃ a m a t 
cinxn	tʃ i n ʍ n 
cʔaxʷ	tʃ a h u 
cʔix	tʃ i ʍ 
ciʔílx	tʃ i i l ʍ 
cklnaʔ	tʃ k l n a 
cnap	tʃ n a p 
ckawsʕacm	tʃ k a w s a tʃ m 
ckʷíɬcaʔm	tʃ k w i ɬ tʃ a m 
ckaw	tʃ k a w 
ckʔawskaʕm	tʃ k a w s k a m 
cn	tʃ n 
ciyalqn	tʃ i i a l k n 
ckliʔxʔíp	tʃ k l i ʍ i p 
ckcahmncut	tʃ k tʃ a h m n tʃ u t 
ckawskaʕm	tʃ k a w s k a m 
cʔukʷ	tʃ u k w 
can	tʃ a n 
clkstasqt	tʃ l k s t a s k t 
cyripm	tʃ i r i p m 
cqlnutyaʔ	tʃ k l n u t i a 
ckliʔxʔalqʷ	tʃ k l i ʍ a l k w 
cknnxnaʔx	tʃ k n n ʍ n a ʍ 
carsm	tʃ a r s m 
caʔxus	tʃ a ʍ u s 
cwtmtkus	tʃ w t m t k u s 
ccmaʔsímxʷ	tʃ tʃ m a s i m h u 
cqutmist	tʃ k u t m i s t 
ckliʔxʔípm	tʃ k l i ʍ i p m 
cmaʕm	tʃ m a m 
cwaylx	tʃ w a i l ʍ 
clkstiwɬ	tʃ l k s t i w ɬ 
cwcawt	tʃ w tʃ a w t 
cacacaʕ	tʃ a tʃ a tʃ a 
caqʷqʷ	tʃ a k w k w 
caq	tʃ a k 
cupt	tʃ u p t 
cnlaʕʷtm	tʃ n l a t m 
cnppilx	tʃ n p p i l ʍ 
cnʔuɬxʷst	tʃ n u ɬ h u s t 
cɬum	tʃ ɬ u m 
cqqínkmiʔst	tʃ k k i n k m i s t 
ckɬnyíxaʔ	tʃ k ɬ n i i ʍ a 
cqwsci	tʃ k w s tʃ i 
ckɬpxʷpuxʷ	tʃ k ɬ p h u p u h u 
ckɬʔacqaʔ	tʃ k ɬ a tʃ k a 
ckʷakʷ	tʃ k w a k w 
caʔkʷmscut	tʃ a k w m s tʃ u t 
ccmíɬcaʔ	tʃ tʃ m i ɬ tʃ a 
calxʷank	tʃ a l h u a n k 
cqʷcin	tʃ k w tʃ i n 
ccmaʕsaʔ	tʃ tʃ m a s a 
culaym	tʃ u l a i m 
ckil	tʃ k i l 
cpcipxʷt	tʃ p tʃ i p h u t 
cqa	tʃ k a 
ckiɬp	tʃ k i ɬ p 
cxʷtpncut	tʃ h u t p n tʃ u t 
cnʔacqʔulaʔxʷ	tʃ n a tʃ k u l a h u 
citxʷm	tʃ i t h u m 
culay	tʃ u l a i 
ckʔawscunm	tʃ k a w s tʃ u n m 
ckʷnwixʷ	tʃ k w n w i h u 
cwcwikst	tʃ w tʃ w i k s t 
cíxcxlaʔxʷ	tʃ i ʍ tʃ ʍ l a h u 
ccmaʔsqílaʔxʷ	tʃ tʃ m a s k i l a h u 
ccmilt	tʃ tʃ m i l t 
ckɬkʷiƛpt	tʃ k ɬ k w i ǁ p t 
cmaʕcnítaʔkʷ	tʃ m a tʃ n i t a k w 
cʔawsksíw	tʃ a w s k s i w 
caʔcaʔxuɬ	tʃ a tʃ a ʍ u ɬ 
caʔxknaʕlaʔk	tʃ a ʍ k n a l a k 
cxʷcxʷaxʷ	tʃ h u tʃ h u a h u 
camut	tʃ a m u t 
caʕs	tʃ a s 
caɬɬ	tʃ a ɬ ɬ 
cmtus	tʃ m t u s 
cncnaʕm	tʃ n tʃ n a m 
cpqsiwsm	tʃ p k s i w s m 
cwqayaʔqn	tʃ w k a i a k n 
caɬɬt	tʃ a ɬ ɬ t 
caʔkʷaɬqs	tʃ a k w a ɬ k s 
caʔqminm	tʃ a k m i n m 
cɬitkʷ	tʃ ɬ i t k w 
cnaʕp	tʃ n a p 
cil	tʃ i l 
cnmst	tʃ n m s t 
cqapq	tʃ k a p k 
cxíʔla	tʃ ʍ i l a 
cxʷcxʷiltm	tʃ h u tʃ h u i l t m 
ckin	tʃ k i n 
caʕnm	tʃ a n m 
clxiws	tʃ l ʍ i w s 
cummist	tʃ u m m i s t 
cart	tʃ a r t 
caʕcínxn	tʃ a tʃ i n ʍ n 
cixt	tʃ i ʍ t 
ckak	tʃ k a k 
clclipɬxn	tʃ l tʃ l i p ɬ ʍ n 
cxʷ	tʃ h u 
cmcaʕm	tʃ m tʃ a m 
caʔknalaʔk	tʃ a k n a l a k 
cwkikst	tʃ w k i k s t 
cxʷaxʷ	tʃ h u a h u 
ckckap	tʃ k tʃ k a p 
csqaʕqnaʔ	tʃ s k a k n a 
cslxʷncut	tʃ s l h u n tʃ u t 
clxnmin	tʃ l ʍ n m i n 
cawsƛxʷ	tʃ a w s ǁ h u 
caʔcaʔx	tʃ a tʃ a ʍ 
cmcmn	tʃ m tʃ m n 
cspqniʔ	tʃ s p k n i 
cwqink	tʃ w k i n k 
cʕʷap	tʃ a p 
cukʷ	tʃ u k w 
cakʷt	tʃ a k w t 
caqʷs	tʃ a k w s 
cpqmnwixʷ	tʃ p k m n w i h u 
cq	tʃ k 
caʔscín	tʃ a s tʃ i n 
cxʷlaʔxʷaws	tʃ h u l a h u a w s 
cqʷqʷlwis	tʃ k w k w l w i s 
cxʷlusaʔ	tʃ h u l u s a 
ckʷikʷ	tʃ k w i k w 
ccrimqn	tʃ tʃ r i m k n 
